"Tree","geno","Quadrat location","Total cover","Roughness","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcia","Date sampled","Notes"
"N2-11",1012,"North 80-90",,,,,,,,,,,,,,,
"N2-12",1023,"South 45-55",,,,,,,,,,,,,,,
"N2-12",1023,"South 80-90",,,,,,,,,,,,,,,
"N2-12",1023,"North 45-55",,,,,,,,,,,,,,,
"N2-12",1023,"North 80-90",,,,,,,,,,,,,,,
"N2-14",1023,"South 45-55",,,,,,,,,,,,,,,
"N2-14",1023,"South 80-90",,,,,,,,,,,,,,,
"N2-14",1023,"North 45-55",,,,,,,,,,,,,,,
"N2-14",1023,"North 80-90",,,,,,,,,,,,,,,
"N2-15",1017,"South 45-55",,,,,,,,,,,,,,,
"N2-15",1017,"South 80-90",,,,,,,,,,,,,,,
"N2-15",1017,"North 45-55",,,,,,,,,,,,,,,
"N2-15",1017,"North 80-90",,,,,,,,,,,,,,,
"N2-16",996,"South 45-55",,,,,,,,,,,,,,,
"N2-16",996,"South 80-90",,,,,,,,,,,,,,,
"N2-16",996,"North 45-55",,,,,,,,,,,,,,,
"N2-16",996,"North 80-90",,,,,,,,,,,,,,,
"N2-17",1012,"South 45-55",,,,,,,,,,,,,,,
"N2-17",1012,"South 80-90",,,,,,,,,,,,,,,
"N2-17",1012,"North 45-55",,,,,,,,,,,,,,,
"N2-17",1012,"North 80-90",,,,,,,,,,,,,,,
"N2-20",1012,"South 45-55",,,,,,,,,,,,,,,
"N2-20",1012,"South 80-90",,,,,,,,,,,,,,,
"N2-20",1012,"North 45-55",,,,,,,,,,,,,,,
"N2-20",1012,"North 80-90",,,,,,,,,,,,,,,
"N2-25",1008,"South 45-55",,,,,,,,,,,,,,,
"N2-25",1008,"South 80-90",,,,,,,,,,,,,,,
"N2-25",1008,"North 45-55",,,,,,,,,,,,,,,
"N2-25",1008,"North 80-90",,,,,,,,,,,,,,,
"N2-27 ","T15","South 45-55",,,,,,,,,,,,,,,
"N2-27 ","T15","South 80-90",,,,,,,,,,,,,,,
"N2-27 ","T15","North 45-55",,,,,,,,,,,,,,,
"N2-27 ","T15","North 80-90",,,,,,,,,,,,,,,
"N2-28","WC5","South 45-55",,,,,,,,,,,,,,,
"N2-28","WC5","South 80-90",,,,,,,,,,,,,,,
"N2-28","WC5","North 45-55",,,,,,,,,,,,,,,
"N2-28","WC5","North 80-90",,,,,,,,,,,,,,,
"N2-29",996,"South 45-55",,,,,,,,,,,,,,,
"N2-29",996,"South 80-90",,,,,,,,,,,,,,,
"N2-29",996,"North 45-55",,,,,,,,,,,,,,,
"N2-29",996,"North 80-90",,,,,,,,,,,,,,,
"N2-31","WC5","South 45-55",,,,,,,,,,,,,,,
"N2-31","WC5","South 80-90",,,,,,,,,,,,,,,
"N2-31","WC5","North 45-55",,,,,,,,,,,,,,,
"N2-31","WC5","North 80-90",,,,,,,,,,,,,,,
"N2-33",11,"South 45-55",,,,,,,,,,,,,,,
"N2-33",11,"South 80-90",,,,,,,,,,,,,,,
"N2-33",11,"North 45-55",,,,,,,,,,,,,,,
"N2-33",11,"North 80-90",,,,,,,,,,,,,,,
"N2-35",11,"South 45-55",,,,,,,,,,,,,,,
"N2-35",11,"South 80-90",,,,,,,,,,,,,,,
"N2-35",11,"North 45-55",,,,,,,,,,,,,,,
"N2-35",11,"North 80-90",,,,,,,,,,,,,,,
"N2-37","T15","South 45-55",,,,,,,,,,,,,,,
"N2-37","T15","South 80-90",,,,,,,,,,,,,,,
"N2-37","T15","North 45-55",,,,,,,,,,,,,,,
"N2-37","T15","North 80-90",,,,,,,,,,,,,,,
"N2-45",1012,"South 45-55",,,,,,,,,,,,,,,
"N2-45",1012,"South 80-90",,,,,,,,,,,,,,,
"N2-45",1012,"North 45-55",,,,,,,,,,,,,,,
"N2-45",1012,"North 80-90",,,,,,,,,,,,,,,
"N3-02",11,"South 45-55",,,,,,,,,,,,,,,
"N3-02",11,"South 80-90",,,,,,,,,,,,,,,
"N3-02",11,"North 45-55",,,,,,,,,,,,,,,
"N3-02",11,"North 80-90",,,,,,,,,,,,,,,
"N3-03",1007,"South 45-55",,,,,,,,,,,,,,,
"N3-03",1007,"South 80-90",,,,,,,,,,,,,,,
"N3-03",1007,"North 45-55",,,,,,,,,,,,,,,
"N3-03",1007,"North 80-90",,,,,,,,,,,,,,,
"N3-06",996,"South 45-55",,,,,,,,,,,,,,,
"N3-06",996,"South 80-90",,,,,,,,,,,,,,,
"N3-06",996,"North 45-55",,,,,,,,,,,,,,,
"N3-06",996,"North 80-90",,,,,,,,,,,,,,,
"N3-09","HE-7","South 45-55",,,,,,,,,,,,,,,
"N3-09","HE-7","South 80-90",,,,,,,,,,,,,,,
"N3-09","HE-7","North 45-55",,,,,,,,,,,,,,,
"N3-09","HE-7","North 80-90",,,,,,,,,,,,,,,
"N3-13",1017,"South 45-55",,,,,,,,,,,,,,,
"N3-13",1017,"South 80-90",,,,,,,,,,,,,,,
"N3-13",1017,"North 45-55",,,,,,,,,,,,,,,
"N3-13",1017,"North 80-90",,,,,,,,,,,,,,,
"N3-17",1008,"South 45-55",,,,,,,,,,,,,,,
"N3-17",1008,"South 80-90",,,,,,,,,,,,,,,
"N3-17",1008,"North 45-55",,,,,,,,,,,,,,,
"N3-17",1008,"North 80-90",,,,,,,,,,,,,,,
"N3-22",1008,"South 45-55",,,,,,,,,,,,,,,
"N3-22",1008,"South 80-90",,,,,,,,,,,,,,,
"N3-22",1008,"North 45-55",,,,,,,,,,,,,,,
"N3-22",1008,"North 80-90",,,,,,,,,,,,,,,
"N3-27",996,"South 45-55",,,,,,,,,,,,,,,
"N3-27",996,"South 80-90",,,,,,,,,,,,,,,
"N3-27",996,"North 45-55",,,,,,,,,,,,,,,
"N3-27",996,"North 80-90",,,,,,,,,,,,,,,
"N3-31",1007,"South 45-55",0.25,10,0.25,,,,,,,,,,,,
"N3-31",1007,"South 80-90",0.25,15,0.25,,,,,,,,,,,,
"N3-31",1007,"North 45-55",0,25,0,,,,,,,,,,,,
