"F","H2C","P-value","z"
36.216279732071,0.269835222704485,0.001,4
37.441255113602,0.276439073768167,0.001,4
38.387264823426,0.281457838993431,0.001,4
34.809632697447,0.262101716497827,0.001,4
37.691353342706,0.277772698216898,0.001,4
37.199169864407,0.275143478334332,0.001,4
37.175780902566,0.275018059110471,0.001,4
37.314628904708,0.275761971981506,0.001,4
40.971287036309,0.294818360756812,0.001,4
35.545033783379,0.266165148761998,0.001,4
38.862465672959,0.283952692813696,0.001,4
37.086194158688,0.274537264075427,0.001,4
37.475003102343,0.27661931901956,0.001,4
35.463093161886,0.265714605601643,0.001,4
37.726790538583,0.277961266076341,0.001,4
38.209942663535,0.28052241940899,0.001,4
36.409900605353,0.270887043598507,0.001,4
38.761155810465,0.283422259637697,0.001,4
38.108811205463,0.279987833762912,0.001,4
35.631128274246,0.266637936343107,0.001,4
37.091973883662,0.274568302004417,0.001,4
35.532485800314,0.266096190656177,0.001,4
38.332049112842,0.281166822931818,0.001,4
35.825429507852,0.267702705230249,0.001,4
36.829434088163,0.273155741824746,0.001,4
41.128216639923,0.295613770040386,0.001,4
39.054925096782,0.284958202481256,0.001,4
36.745780892812,0.272704500648093,0.001,4
42.180257620093,0.30090012913521,0.001,4
35.238805719444,0.264478546840516,0.001,4
35.655036447293,0.266769119930273,0.001,4
38.803143022622,0.283642189538039,0.001,4
36.515835681675,0.271461240950751,0.001,4
34.819186460566,0.262154793960464,0.001,4
37.204539460695,0.275172265732327,0.001,4
36.590612643512,0.27186600851895,0.001,4
36.846818425304,0.273249445968311,0.001,4
65.671173471495,0.40123848371462,0.001,5
64.871631299413,0.398299143821781,0.001,5
66.223939294529,0.403253871384483,0.001,5
66.643006348143,0.404772773689665,0.001,5
64.580354909694,0.397221146094589,0.001,5
63.585675831266,0.393510597422415,0.001,5
66.445152605432,0.404056620415318,0.001,5
66.500337007307,0.404256539634647,0.001,5
64.942288341453,0.398560060758219,0.001,5
65.725398533503,0.401436790639747,0.001,5
67.515603092067,0.407910806176455,0.001,5
67.082632877668,0.406357905179394,0.001,5
66.28021822329,0.403458303988869,0.001,5
64.019970389425,0.395136292369078,0.001,5
66.334826092359,0.403656532639513,0.001,5
67.330836055839,0.407249111309754,0.001,5
66.373439468089,0.403796621174763,0.001,5
66.712514070553,0.405023956115303,0.001,5
68.282376760878,0.41064109192444,0.001,5
