Tree,Tree,Geno,Row,Col,Xgal,Csub,Lsp,Chol,Xmon,Pmel,Pads,Pund,Rsp
N1.7,N1.7,,7,7,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,7,9,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,8,2,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,8,4,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,8,6,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,8,8,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,8,10,1,1,0,1,0,0,0,0,0
N1.7,N1.7,,9,1,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,9,3,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,9,5,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,9,7,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,9,9,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,10,2,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,10,4,0,0,0,0,0,0,0,0,0
N1.7,N1.7,,10,6,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,10,8,1,0,0,0,0,0,0,0,0
N1.7,N1.7,,10,10,1,0,0,0,0,0,0,0,0
N1.8,N1.8,,1,1,1,0,0,0,0,0,0,0,0
N1.8,N1.8,,1,3,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,1,5,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,1,7,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,1,9,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,2,2,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,2,4,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,2,6,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,2,8,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,2,10,1,0,0,0,0,0,0,0,0
N1.8,N1.8,,3,1,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,3,3,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,3,5,0,0,0,0,0,0,0,0,0
