"Tree","geno","Quadrat location (cm abvove ground)","Total cover ","Roughness ","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcioid","Unknown, totally"
"N2-31","WC5","North 80-90",6.00,15.00,4.00,,,,,0.10,,,,,,
,,,,,,,,,,,,,,,,
"N2-33",11,"South 45-55",2.00,30.00,1.00,0.10,0.10,,,,,,,,,
"N2-33",11,"South 80-90",12.00,40.00,12.00,,0.10,,,,,,,,,
"N2-33",11,"North 45-55",25.00,60.00,20.00,1.00,10.00,,0.10,,0.50,,,,,
"N2-33",11,"North 80-90",10.00,30.00,10.00,,0.10,,,0.25,,,,,,
,,,,,,,,,,,,,,,,
"N2-35",11,"South 45-55",1.00,75.00,1.00,,,,,,,,,,,
"N2-35",11,"South 80-90",20.00,70.00,17.00,0.20,0.10,,,0.25,,,,,,
"N2-35",11,"North 45-55",1.00,85.00,1.00,,,,,,,,,,,
"N2-35",11,"North 80-90",0.50,25.00,0.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-37","T15","South 45-55",0.50,20.00,0.50,,,,,,,,,,,
"N2-37","T15","South 80-90",0.50,40.00,0.50,,,,,,,,,,,
"N2-37","T15","North 45-55",0.10,25.00,0.10,,,,,,,,,,,
"N2-37","T15","North 80-90",8.00,20.00,8.00,0.25,0.10,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-44","RL6","South 45-55",0.25,80.00,0.25,,,,,,,,,,,
"N2-44","RL6","South 80-90",0.25,70.00,0.25,,,,,,,,,,,
"N2-44","RL6","North 45-55",35.00,90.00,25.00,,0.10,0.10,,0.50,0.25,0.25,,,,
"N2-44","RL6","North 80-90",10.00,85.00,8.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N2-45",1012,"South 45-55",1.00,40.00,1.00,,,,,0.10,,,,,,
"N2-45",1012,"South 80-90",0.25,80.00,0.25,,,,,,,,,,,
"N2-45",1012,"North 45-55",30.00,75.00,25.00,0.10,0.50,,,0.50,,,,,,
"N2-45",1012,"North 80-90",8.00,50.00,6.00,,1.00,,,0.10,,,,,,
,,,,,,,,,,,,,,,,
"N3-02",11,"South 45-55",3.00,100.00,3.00,,,,,,,,,,,
"N3-02",11,"South 80-90",,2.00,,,,,,,,,,,,
"N3-02",11,"North 45-55",4.00,20.00,1.50,0.10,3.00,,,,,,,,,
"N3-02",11,"North 80-90",1.00,15.00,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-03",1007,"South 45-55",0.25,20.00,0.25,,,,,,,,,,,
"N3-03",1007,"South 80-90",0.10,10.00,0.10,,,,,,,,,,,
"N3-03",1007,"North 45-55",2.00,35.00,2.00,,,,,,,,,,,
"N3-03",1007,"North 80-90",1.50,10.00,1.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-06",996,"South 45-55",,5.00,,,,,,,,,,,,
"N3-06",996,"South 80-90",,15.00,,,,,,,,,,,,
"N3-06",996,"North 45-55",,5.00,,,,,,,,,,,,
"N3-06",996,"North 80-90",,15.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N3-09","HE-7","South 45-55",,85.00,,,,,,,,,,,,
"N3-09","HE-7","South 80-90",1.00,40.00,1.00,,,,,,,,,,,
"N3-09","HE-7","North 45-55",85.00,75.00,85.00,,2.00,,,,,,,,,
