"leaf.type","tree","geno","shoot","leaf","pb.upper","pb.lower","pb.hole","pb.woody","pb.woody.pred","pb.abort","pb.pred","chew.edge","chew.holes","scrape","fish.eye","tip.miner","edge.miner","mid.miner","fungal","chomp","pinch","thrips","edge.fold","tier","mite"
"live","np2.34",1000,10,5,,,,,,,,,,1,,,,,,,,,,,
"live","np6.19","T6",1,1,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",1,2,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",1,3,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",1,4,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",1,5,,,,,,,,1,,,,,,,,,,,,,
"live","np6.19","T6",2,1,,,,,,,,1,,,,,,,,,,,,,
"live","np6.19","T6",2,2,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",2,3,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",2,4,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",2,5,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",3,1,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",3,2,,,,,,,,,,1,,,,,1,,,,,,
"live","np6.19","T6",3,3,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",3,4,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",3,5,,,,,,,,,,1,,,,,1,,,,,,
"live","np6.19","T6",4,1,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",4,2,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",4,3,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",4,4,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",4,5,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",5,1,,,,,,,,,,,,,,,,1,,,,,
"live","np6.19","T6",5,2,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",5,3,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",5,4,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",5,5,,,,,,,,1,,,,,,,,,,,,,
"live","np6.19","T6",6,1,,,,,,,,,,,,,,,,1,,,,,
"live","np6.19","T6",6,2,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",6,3,,,,,,,,1,,,,,,,1,,,,,,
"live","np6.19","T6",6,4,,,,,,,,,,,,,,,,,,,,,
"live","np6.19","T6",6,5,,,,,,,,,,,,,,,1,,,,,,
"live","np6.19","T6",7,1,,,,,,,,,,,,,,,,,,,,,
