ALL LOCI	10	1000	1005	1007	1008	1012	1014	1017	1018	1019	1020	1023	11	13	18	1991	1992	2001	2017	2028	3200	996	998	999	COAL1	COAL3	EC1	EC2	EC3	EC4	H10	HE1	HE10	HE2	HE4	HE8	KSU6	NUL	NUN	P2	PEOA2	RL1	RL2	RL6	RM2	RM4	RM5	RM7	T15	T2	T21	T48	T6	WC1	WC3	WC4	WC5	WH-2	WH-3	XSU1
RM2	0.3201	0.7672	0.2530	0.8255	0.5586	0.4939	0.0488	0.5481	0.2935	0.6114	0.6371	0.4498	0.0970	0.5636	-1.9287	0.6513	0.5331	-0.1772	0.6347	-0.5272	0.1861	0.0430	0.6149	0.2062	-0.0662	0.5244	0.3257	0.0821	0.3460	0.0821	-0.3000	0.3116	0.2001	0.3356	0.4977	0.0799	0.5884	-0.4845	0.1374	-0.1927	0.5270	0.0387	-0.1983	0.0355		0.4552	-0.1576	0.6913	0.4939	-0.1901	0.6150	0.3079	0.4031	-0.3683	-0.5608	0.4965	0.2056	-1.1340	-2.2054	0.6757
RM4	-0.1078	0.5558	0.8027	0.8316	0.7355	0.1954	0.1589	0.3911	0.1225	0.8103	0.6503	1.0000	-0.1007	0.0921	-1.8795	-0.0677	0.0343	-0.6433	0.4316	-0.9115	0.0242	0.4739	0.3932	0.3352	0.0893	0.7091	0.3087	-0.1812	0.1478	-0.1812	-0.2807	-0.1195	0.3305	0.4878	-0.0658	0.6053	0.4484	-0.4583	0.3461	0.0164	0.3616	-0.1792	-0.0130	0.3653	0.4552		-0.4084	0.1995	0.3152	0.2312	0.3901	0.3276	0.1171	0.2940	-0.1924	0.3186	0.0492	-1.1014	-2.2165	0.6862
RM5	0.0265	0.5558	-0.3007	-0.0032	-0.1254	0.7468	-0.3188	0.1417	-0.1477	-0.0334	0.4754	-0.4220	-0.3138	-0.3478	-1.4463	0.0679	-0.3965	-0.0949	-0.2034	0.1321	0.6597	-0.2765	0.0790	-0.1035	0.3922	-0.2069	0.5499	0.6489	0.5402	0.6489	-0.7906	0.3422	-0.0138	0.2183	0.3747	-0.0530	0.2182	-0.8212	-0.2044	0.1524	0.1039	0.5582	-0.3946	-0.2915	-0.1576	-0.4084		-0.2954	0.5402	0.0369	0.4327	0.0887	0.6019	-0.1561	-0.2944	0.3640	0.6663	-1.1433	-1.1249	-0.1942
RM7	0.2537	0.3761	0.0044	0.5203	0.6003	0.1414	0.4538	0.5903	0.1310	0.3232	0.6503	0.2511	-0.3637	0.6194	-1.5375	0.3571	0.3451	0.0048	0.6799	0.0766	0.2693	0.1558	0.4194	-0.0277	-0.4942	0.5699	-0.0008	-0.1302	-0.1512	-0.1302	-0.1391	-0.0637	0.3194	-0.1707	-0.0148	0.2012	0.1218	-0.5282	-0.2366	-0.7108	0.5732	-0.1199	-0.4306	0.0076	0.6913	0.1995	-0.2954		-0.0561	-0.3000	0.3169	0.4163	0.1071	-0.5551	-0.3304	0.5435	0.2846	-0.8921	-1.6549	0.8431
T15	0.0025	0.8390	0.3152	0.6480	0.1074	0.8419	-0.1715	0.2834	0.2252	0.5052	0.2594	0.2855	0.2804	-0.1364	-1.1125	0.5307	0.4066	-0.2373	0.4752	-0.3927	0.3186	-0.2183	0.7579	0.2325	0.6535	0.0443	0.8320	0.6730	1.0000	0.6730	-0.6559	0.5183	0.5424	0.8475	0.8475	-0.0638	0.7193	-0.0825	0.6003	0.3954	0.2518	0.5303	-0.2117	-0.2993	0.4939	0.3152	0.5402	-0.0561		0.1261	0.8475	0.6471	0.8463	0.0635	-0.6415	0.3308	0.3346	-1.1614	-1.5879	0.0724
T2	-0.1533	0.2601	0.0467	-0.0671	-0.1600	0.0573	-0.5698	-0.1848	-0.3146	-0.3030	0.1606	0.2244	0.1194	-0.3374	-1.7158	-0.1427	-0.3710	-0.5106	-0.2340	-0.7210	0.2914	0.7733	0.1790	0.0079	0.5757	0.3076	-0.1707	0.2331	0.0297	0.2331	-0.2823	-0.1692	0.5508	0.5768	-0.1139	0.3936	-0.0893	-0.0426	0.1089	0.3705	-0.2327	0.1933	0.7726	0.2252	-0.1901	0.2312	0.0369	-0.3000	0.1261		0.1726	0.5539	-0.0446	0.8425	0.2404	0.1248	0.3057	-0.9533	-0.5949	0.2900
T21	0.4089	1.0000	0.1540	0.8316	0.5293	0.7834	-0.0723	0.5193	0.2045	0.5711	0.8251	0.3834	0.2208	0.1882	-2.3206	0.5730	0.1321	-0.1673	0.5991	-0.3274	0.7732	0.1008	0.7916	0.0865	0.4309	0.4936	0.7644	0.5924	0.6412	0.5924	-0.5475	0.4065	0.5875	0.6363	0.4296	0.3869	0.5576	-0.5402	0.1953	0.1112	0.4945	0.6444	-0.2561	0.1242	0.6150	0.3901	0.4327	0.3169	0.8475	0.1726		0.7474	0.7915	-0.0858	-0.4451	0.8411	0.7776	-1.3608	-2.1720	0.6862
T48	0.0350	0.7233	-0.0088	0.6039	0.2743	0.3781	-0.0907	0.2550	-0.1440	0.2050	0.5859	0.3193	-0.1453	-0.1539	-2.3280	0.1355	0.1675	-0.7072	0.7888	-0.4902	0.6216	0.4436	0.4876	-0.0961	0.5924	0.5625	0.2967	0.2288	0.3709	0.2288	-0.7364	0.0945	1.0000	0.6843	0.0802	0.3278	0.3280	-0.4110	0.1959	0.0483	0.2080	0.3860	-0.0178	-0.0344	0.3079	0.3276	0.0887	0.4163	0.6471	0.5539	0.7474		0.4113	0.2556	-0.6625	0.6299	0.6297	-1.7787	-2.4719	0.6862
T6	0.1633	0.7754	0.2859	0.6602	0.3585	1.0000	0.0520	0.7237	0.1968	0.5663	0.6503	0.1064	-0.2530	-0.0224	-2.3787	0.2743	-0.1024	-0.0885	0.3823	-0.2603	0.6597	-0.1012	0.5686	0.2223	0.2215	0.3120	1.0000	0.7798	0.8463	0.7798	-0.8160	0.5783	0.2370	0.4405	0.5987	0.1144	0.4015	-0.8869	-0.1756	-0.1191	0.7141	0.4674	-0.4986	-0.2036	0.4031	0.1171	0.6019	0.1071	0.8463	-0.0446	0.7915	0.4113		0.0635	-0.7482	0.6822	0.6644	-2.0253	-2.3856	0.5255
WC1	-0.3433	-0.0858	0.6480	-0.1900	-0.3399	0.0635	-0.5106	0.0635	-0.2585	-0.1884	-0.1900	0.2940	-0.6112	-0.3682	-0.8073	-0.4951	-0.5551	-0.4168	-0.3621	-0.8461	-0.0858	0.8425	-0.1034	0.6277	0.3041	0.5132	-0.1035	0.0635	0.0635	0.0635	-0.4214	-0.1300	0.3006	0.5132	-0.1535	0.2806	-0.3071	-0.2211	-0.5907	0.0900	0.0635	-0.2820	0.6611	0.0556	-0.3683	0.2940	-0.1561	-0.5551	0.0635	0.8425	-0.0858	0.2556	0.0635		-0.1013	-0.0858	-0.0858	-1.6636	-0.6367	0.6011
WC3	-0.3646	-0.1540	-0.4463	-0.2424	0.0734	-0.5069	-0.3283	-0.2179	-0.5419	-0.3900	0.4632	-0.1428	-0.5542	-0.3475	-1.0719	-0.8060	-0.8916	-0.7126	-0.5770	-0.6120	0.0612	0.4282	0.0082	-0.5860	-0.2350	0.0110	-0.3903	-0.1882	-0.7209	-0.1882	-0.4237	-0.6935	-0.6551	-0.4705	-0.8855	0.3475	-0.3431	-0.6136	-0.7064	-0.3781	-0.2369	-0.3463	0.3517	-0.0208	-0.5608	-0.1924	-0.2944	-0.3304	-0.6415	0.2404	-0.4451	-0.6625	-0.7482	-0.1013		-0.0438	0.0698	-0.4732	-0.9021	-0.0808
WC4	0.6749	0.8319	0.1273	0.6568	0.7056	0.6700	0.2344	0.7004	0.1433	0.4480	1.0000	0.3596	0.2445	0.4211	-1.3192	0.5145	-0.1768	0.2028	0.4947	0.1812	0.8855	0.3232	0.7834	0.0660	-0.0089	0.6909	0.6485	0.5009	0.2096	0.5009	-0.1976	0.3378	0.5232	0.1992	0.0392	0.6786	0.1612	-0.5508	-0.2542	-0.1791	0.6952	0.5408	-0.1937	0.5126	0.4965	0.3186	0.3640	0.5435	0.3308	0.1248	0.8411	0.6299	0.6822	-0.0858	-0.0438		0.8865	-0.7218	-1.4454	0.8385
WC5	0.6610	0.8368	-0.1218	0.3143	0.4019	0.6795	0.0421	0.3919	-0.0236	0.1401	1.0000	0.0541	0.3745	0.2034	-1.3958	0.5468	-0.2767	0.3086	0.1806	0.3043	1.0000	0.2264	0.5195	-0.1864	0.3289	0.3675	0.6423	0.6663	0.2501	0.6663	-0.2388	0.3782	0.5551	0.2403	0.1281	0.6637	-0.0285	-0.5692	-0.0677	0.1859	0.3691	0.7730	-0.0801	0.5388	0.2056	0.0492	0.6663	0.2846	0.3346	0.3057	0.7776	0.6297	0.6644	-0.0858	0.0698	0.8865		-0.5306	-0.8083	0.4163
WH-2	-1.0772	-1.3568	-1.5852	-0.9110	-0.6464	-2.0129	-0.9258	-0.7062	-0.9380	-1.4438	-0.7410	-0.9713	-2.0099	-0.2996	-0.3561	-2.0539	-1.3292	-1.4150	-1.1140	-1.4135	-0.5306	-0.4246	-0.8335	-1.2288	-0.8080	-0.3838	-2.2944	-1.4421	-1.3028	-1.4421	-0.3203	-1.3461	-1.7787	-0.9087	-1.5849	-1.0823	-0.4807	-0.8133	-1.1154	-1.2608	-0.7401	-0.7357	-0.6017	-1.4039	-1.1340	-1.1014	-1.1433	-0.8921	-1.1614	-0.9533	-1.3608	-1.7787	-2.0253	-1.6636	-0.4732	-0.7218	-0.5306		0.1519	0.0129
WH-3	-1.7810	-2.2862	-2.3984	-2.0297	-1.5922	-2.4341	-1.3697	-1.3568	-1.2103	-2.2950	-1.5977	-2.1342	-3.0679	-1.2137	-0.1987	-2.7990	-1.9628	-1.6911	-2.0045	-1.6149	-0.8083	-0.5296	-1.9579	-2.0369	-0.8981	-1.2950	-2.6615	-1.6343	-1.5879	-1.6343	-0.7191	-1.6743	-2.5669	-1.4899	-1.8355	-1.8054	-1.3711	-1.2968	-1.3633	-1.3121	-1.3969	-1.0648	-0.5521	-1.8982	-2.2054	-2.2165	-1.1249	-1.6549	-1.5879	-0.5949	-2.1720	-2.4719	-2.3856	-0.6367	-0.9021	-1.4454	-0.8083	0.1519		-0.7873
XSU1	0.5187	0.7801	0.5293	0.8328	0.8431	0.5708	0.6837	0.8431	0.2204	0.6496	1.0000	0.7870	0.2156	0.6862	-1.1842	0.3558	0.0778	0.2156	0.8335	0.3341	0.4010	0.8431	0.7783	0.5351	-0.4194	1.0000	0.4801	0.0876	-0.0295	0.0876	0.0329	0.3725	0.6862	0.1749	-0.2054	0.6827	0.2389	-0.2969	-0.0712	-0.5093	0.8355	0.1587	0.0307	0.5046	0.6757	0.6862	-0.1942	0.8431	0.0724	0.2900	0.6862	0.6862	0.5255	0.6011	-0.0808	0.8385	0.4163	0.0129	-0.7873	
