tree,shoot,leaf,pb.gall,pb.abort,phyllo,roll,sp4,sp5,mid.holes,excentric,spot,chomp,edge,stem.gall,tip.chew,tier,round.petiole.gall,edge.miner,tip.miner,lacy,edge.pinch
N1.36,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,19,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,19,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,20,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,20,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N1.36,20,5,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
N1.36,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,21,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N1.36,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,22,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,22,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N1.36,22,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
N1.36,23,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
N1.36,23,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
N1.36,23,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N1.36,23,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N1.36,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,24,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N1.36,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,24,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
N1.36,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,25,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N1.36,25,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
N1.36,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.36,25,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
N1.36,25,6,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
N4.30,1,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
N4.30,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
N4.30,1,4,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
N4.30,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N4.30,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N4.30,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N4.30,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
N4.30,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N4.30,3,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
N4.30,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N4.30,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,4,5,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
N4.30,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N4.30,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
N4.30,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
N4.30,5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
N4.30,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N4.30,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,6,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
N4.30,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,7,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
N4.30,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N4.30,7,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
N4.30,7,4,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0
N4.30,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.30,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
